week,ai_an_nh,asian_pi_nh,black_nh,hispanic,white_nh,total,vaccinations
2021-01-02,4.99,4.26,3.53,5.52,4.87,23.17,2943525
2021-01-09,5.21,4.02,3.56,5.56,4.17,22.52,2071875
2021-01-16,4.99,3.2,3.27,4.37,3.54,19.37,2643225
2021-01-30,2.82,1.65,2.13,2.43,2.18,11.21,2084550
2021-02-06,1.92,1.45,1.86,1.78,1.71,8.72,2149875
2021-02-13,0.8,0.9,1.31,1.21,1.24,5.46,2149875
2021-02-20,0.47,0.67,1.13,1.01,0.94,4.22,2165475
2021-02-27,0.58,0.58,0.94,0.85,0.79,3.74,2149875
2021-03-06,0.29,0.43,0.77,0.69,0.58,2.76,2149875
2021-03-13,0.18,0.48,0.73,0.61,0.53,2.53,3400020
2021-03-20,0.33,0.32,0.68,0.62,0.53,2.48,6786830
2021-03-27,0.25,0.4,0.68,0.55,0.5,2.38,4262310
2021-04-03,0.22,0.2,0.55,0.35,0.41,1.73,5026280
2021-04-10,0.04,0.22,0.45,0.25,0.32,1.28,5007890
2021-04-17,0.11,0.13,0.22,0.16,0.22,0.84,7611440
