state,mask_willingness,vaccine_unwilling,supply_percent_used,population,election_result,jjvaccinations,mdvaccinations,pfvaccinations,postvax_deaths,prevax_deaths
Alabama,85,26,63.8,4863300,R,179400,911800,1046760,23227,36036
Alaska,77,22,72.9,741894,R,39900,201700,241800,1712,1767
Arizona,80,22,75.3,6931071,D,253900,1292600,1484340,30972,38259
Arkansas,68,27,69.5,2988248,R,109000,553100,640380,20022,22793
California,84,17,77.8,39250017,D,1428400,7273200,8303880,29148,68739
Colorado,89,18,82.2,5540545,D,203400,1034100,1188525,16873,25913
Connecticut,95,13,84.1,3576452,D,134800,684900,794820,17378,23171
Delaware,90,14,77.6,952065,D,35700,181500,220350,8250,7124
Florida,91,20,73.1,20612439,R,781500,3978600,4543110,31872,55453
Georgia,82,27,66.9,10310371,D,370900,1885700,2162550,31636,44561
Hawaii,94,11,82.9,1428557,D,53500,271000,320580,2473,2853
Idaho,73,29,76.2,1683140,R,59900,302800,354900,9093,11074
Illinois,90,19,78.2,12801539,D,471000,2394600,2756325,25591,45842
Indiana,89,22,76.4,6633053,R,241000,1225600,1406925,20389,34225
Iowa,69,20,85.9,3134693,R,114700,581800,672555,13870,23069
Kansas,86,25,74.6,2907289,R,104700,531300,616980,16890,18648
Kentucky,83,25,79.7,4436974,R,163400,829900,962325,22199,23198
Louisiana,86,23,73.8,4681666,R,169000,860500,996450,21367,36376
Maine,88,16,85.1,1331479,D,51600,261900,306540,6673,3433
Maryland,91,15,79.2,6016447,D,221700,1128000,1297920,23268,32857
Massachusetts,90,11,83.1,6811779,D,259300,1319200,1515150,20140,26939
Michigan,84,21,74.5,9928300,D,369100,1877800,2148120,24549,36573
Minnesota,83,17,86.3,5519952,D,202000,1028400,1181115,15152,26774
Mississippi,83,30,65.7,2988726,R,108200,549500,635310,21691,29770
Missouri,79,24,76.4,6093000,R,223700,1138400,1308840,20227,31788
Montana,84,24,77.3,1042520,R,39000,198700,236925,7731,9300
Nebraska,80,16,80.9,1907116,R,69300,351400,409110,9939,15212
Nevada,92,22,82.1,2940058,D,107200,544900,630630,21532,21914
New Hampshire,87,17,85,1334795,D,51700,262300,306540,7516,6347
New Jersey,88,14,83.3,8944469,D,328700,1671500,1914510,29022,39795
New Mexico,89,20,89.1,2081015,D,77000,391900,457470,18541,18535
New York,91,13,83.7,19745289,D,735700,3744200,4284150,58359,69607
North Carolina,79,22,71.9,10146788,R,373700,1902400,2181270,7268,36229
North Dakota,66,24,87.7,757952,R,28500,143500,169845,6295,10755
Ohio,83,21,79.9,11614373,R,428800,2182500,2502045,25678,38592
Oklahoma,81,28,72.2,3923561,R,141000,716900,831285,22020,26141
Oregon,90,17,77.5,4093465,D,153700,780700,902070,11441,11552
Pennsylvania,88,20,80.1,12784227,D,422200,2149900,2461485,28253,38725
Rhode Island,96,15,80.3,1056426,D,40800,206200,240435,10115,13647
South Carolina,82,23,71.7,4961119,R,183600,933900,1076205,23007,28831
South Dakota,54,28,79.1,865454,R,31500,158600,191295,7746,12344
Tennessee,76,25,74.5,6651194,R,245000,1246400,1433445,25550,32802
Texas,84,23,72.4,27862596,R,978300,4980400,5689125,33672,67372
Utah,74,16,84,3051217,R,102100,518100,597675,12736,12175
Vermont,84,16,83.6,624594,D,24500,124000,153855,1366,932
Virginia,88,19,82,8411808,D,311400,1583400,1816425,23983,32314
Washington,88,17,79.8,7288000,D,272000,1385300,1604655,17600,21283
West Virginia,77,28,71.4,1831102,R,69600,353400,409110,13668,11173
Wisconsin,79,19,87.6,5778708,D,214700,1092400,1256970,16556,26068
Wyoming,54,22,74.8,585501,R,21400,108900,133380,3786,3594
