,state,mask_willingness,vaccine_unwilling,supply_percent_used,% population passed,election_result,postvax_deaths,prevax_deaths,Total Vaccinations
0,Alabama,85,26,63.8,1.2185758641251825,R,23227,36036,2137960
1,Alaska,77,22,72.9,0.4689349152304777,R,1712,1767,483400
2,Arizona,80,22,75.3,0.9988499612830399,D,30972,38259,3030840
3,Arkansas,68,27,69.5,1.4327793409382354,R,20022,22793,1302480
4,California,84,17,77.8,0.24939352255567174,D,29148,68739,17005480
5,Colorado,89,18,82.2,0.7722345003966217,D,16873,25913,2426025
6,Connecticut,95,13,84.1,1.133777274237149,D,17378,23171,1614520
7,Delaware,90,14,77.6,1.614805711794888,D,8250,7124,437550
8,Florida,91,20,73.1,0.42365195113494336,R,31872,55453,9303210
9,Georgia,82,27,66.9,0.739032572154775,D,31636,44561,4419150
10,Hawaii,94,11,82.9,0.3728237655200317,D,2473,2853,645080
11,Idaho,73,29,76.2,1.1981772163931699,R,9093,11074,717600
12,Illinois,90,19,78.2,0.5580032213314353,D,25591,45842,5621925
13,Indiana,89,22,76.4,0.8233614294955883,R,20389,34225,2873525
14,Iowa,69,20,85.9,1.1783929080136395,R,13870,23069,1369055
15,Kansas,86,25,74.6,1.2223758972706187,R,16890,18648,1252980
16,Kentucky,83,25,79.7,1.0231522654854412,R,22199,23198,1955625
17,Louisiana,86,23,73.8,1.2333857220912383,R,21367,36376,2025950
18,Maine,88,16,85.1,0.7590055870201483,D,6673,3433,620040
19,Maryland,91,15,79.2,0.9328595431822138,D,23268,32857,2647620
20,Massachusetts,90,11,83.1,0.6911410367247675,D,20140,26939,3093650
21,Michigan,84,21,74.5,0.6156340964717021,D,24549,36573,4395020
22,Minnesota,83,17,86.3,0.7595355901645522,D,15152,26774,2411515
23,Mississippi,83,30,65.7,1.7218373313579096,R,21691,29770,1293010
24,Missouri,79,24,76.4,0.8536845560479239,R,20227,31788,2670940
25,Montana,84,24,77.3,1.6336377239765185,R,7731,9300,474625
26,Nebraska,80,16,80.9,1.3187975980485718,R,9939,15212,829810
27,Nevada,92,22,82.1,1.477725949624123,D,21532,21914,1282730
28,New Hampshire,87,17,85.0,1.0385864496046209,D,7516,6347,620540
29,New Jersey,88,14,83.3,0.7693804964833575,D,29022,39795,3914710
30,New Mexico,89,20,89.1,1.7816305985300442,D,18541,18535,926370
31,New York,91,13,83.7,0.64808370239605,D,58359,69607,8764050
32,North Carolina,79,22,71.9,0.4286775282976248,R,7268,36229,4457370
33,North Dakota,66,24,87.7,2.2494828168538374,R,6295,10755,341845
34,Ohio,83,21,79.9,0.5533660749486864,R,25678,38592,5113345
35,Oklahoma,81,28,72.2,1.2274818716976748,R,22020,26141,1689185
36,Oregon,90,17,77.5,0.5617001733250437,D,11441,11552,1836470
37,Pennsylvania,88,20,80.1,0.5239112227903963,D,28253,38725,5033585
38,Rhode Island,96,15,80.3,2.24928201312728,D,10115,13647,487435
39,South Carolina,82,23,71.7,1.0448852365766674,R,23007,28831,2193705
40,South Dakota,54,28,79.1,2.321324992431718,R,7746,12344,381395
41,Tennessee,76,25,74.5,0.8773161630828992,R,25550,32802,2924845
42,Texas,84,23,72.4,0.3626510609420601,R,33672,67372,11647825
43,Utah,74,16,84.0,0.8164283300728856,R,12736,12175,1217875
44,Vermont,84,16,83.6,0.36791900018251855,D,1366,932,302355
45,Virginia,88,19,82.0,0.6692615903739125,D,23983,32314,3711225
46,Washington,88,17,79.8,0.5335208562019758,D,17600,21283,3261955
47,West Virginia,77,28,71.4,1.3566147598549945,R,13668,11173,832110
48,Wisconsin,79,19,87.6,0.7376043226271339,D,16556,26068,2564070
49,Wyoming,54,22,74.8,1.2604589915303306,R,3786,3594,263680
