,state,mask_willingness,vaccine_unwilling,supply_percent_used,% population passed,election_result,postvax_deaths,prevax_deaths,% population vaccinated
0,Alabama,85,26,63.8,1.2185758641251825,R,23227,36036,43.96109637488948
1,Alaska,77,22,72.9,0.4689349152304777,R,1712,1767,65.15755620075106
2,Arizona,80,22,75.3,0.9988499612830399,D,30972,38259,43.728306923994865
3,Arkansas,68,27,69.5,1.4327793409382354,R,20022,22793,43.58674380439642
4,California,84,17,77.8,0.24939352255567174,D,29148,68739,43.32604492884678
5,Colorado,89,18,82.2,0.7722345003966217,D,16873,25913,43.78675743992694
6,Connecticut,95,13,84.1,1.133777274237149,D,17378,23171,45.14306357250146
7,Delaware,90,14,77.6,1.614805711794888,D,8250,7124,45.95799656536056
8,Florida,91,20,73.1,0.42365195113494336,R,31872,55453,45.13396012960912
9,Georgia,82,27,66.9,0.739032572154775,D,31636,44561,42.861212268695276
10,Hawaii,94,11,82.9,0.3728237655200317,D,2473,2853,45.156056076166365
11,Idaho,73,29,76.2,1.1981772163931699,R,9093,11074,42.634599617381795
12,Illinois,90,19,78.2,0.5580032213314353,D,25591,45842,43.91600884862359
13,Indiana,89,22,76.4,0.8233614294955883,R,20389,34225,43.321303176681994
14,Iowa,69,20,85.9,1.1783929080136395,R,13870,23069,43.67429282548562
15,Kansas,86,25,74.6,1.2223758972706187,R,16890,18648,43.09788259784287
16,Kentucky,83,25,79.7,1.0231522654854412,R,22199,23198,44.07564705134626
17,Louisiana,86,23,73.8,1.2333857220912383,R,21367,36376,43.27412506573515
18,Maine,88,16,85.1,0.7590055870201483,D,6673,3433,46.567764117947036
19,Maryland,91,15,79.2,0.9328595431822138,D,23268,32857,44.00637120213973
20,Massachusetts,90,11,83.1,0.6911410367247675,D,20140,26939,45.4161827622417
21,Michigan,84,21,74.5,0.6156340964717021,D,24549,36573,44.26759868255391
22,Minnesota,83,17,86.3,0.7595355901645522,D,15152,26774,43.687245831123164
23,Mississippi,83,30,65.7,1.7218373313579096,R,21691,29770,43.26291536929113
24,Missouri,79,24,76.4,0.8536845560479239,R,20227,31788,43.83620548170031
25,Montana,84,24,77.3,1.6336377239765185,R,7731,9300,45.526704523654224
26,Nebraska,80,16,80.9,1.3187975980485718,R,9939,15212,43.51124944680869
27,Nevada,92,22,82.1,1.477725949624123,D,21532,21914,43.629411392564364
28,New Hampshire,87,17,85.0,1.0385864496046209,D,7516,6347,46.48953584632846
29,New Jersey,88,14,83.3,0.7693804964833575,D,29022,39795,43.766823944495755
30,New Mexico,89,20,89.1,1.7816305985300442,D,18541,18535,44.51529662208105
31,New York,91,13,83.7,0.64808370239605,D,58359,69607,44.38552406095449
32,North Carolina,79,22,71.9,0.4286775282976248,R,7268,36229,43.92887680318146
33,North Dakota,66,24,87.7,2.2494828168538374,R,6295,10755,45.10114096934898
34,Ohio,83,21,79.9,0.5533660749486864,R,25678,38592,44.02600984142666
35,Oklahoma,81,28,72.2,1.2274818716976748,R,22020,26141,43.05234454109417
36,Oregon,90,17,77.5,0.5617001733250437,D,11441,11552,44.863459196548646
37,Pennsylvania,88,20,80.1,0.5239112227903963,D,28253,38725,39.373401301463126
38,Rhode Island,96,15,80.3,2.24928201312728,D,10115,13647,46.14000412712296
39,South Carolina,82,23,71.7,1.0448852365766674,R,23007,28831,44.21794760415946
40,South Dakota,54,28,79.1,2.321324992431718,R,7746,12344,44.06877777443977
41,Tennessee,76,25,74.5,0.8773161630828992,R,25550,32802,43.97473596470047
42,Texas,84,23,72.4,0.3626510609420601,R,33672,67372,41.804521732289416
43,Utah,74,16,84.0,0.8164283300728856,R,12736,12175,39.91440136837203
44,Vermont,84,16,83.6,0.36791900018251855,D,1366,932,48.40824599659939
45,Virginia,88,19,82.0,0.6692615903739125,D,23983,32314,44.1192309667553
46,Washington,88,17,79.8,0.5335208562019758,D,17600,21283,44.757889681668495
47,West Virginia,77,28,71.4,1.3566147598549945,R,13668,11173,45.44312659808137
48,Wisconsin,79,19,87.6,0.7376043226271339,D,16556,26068,44.37099088585199
49,Wyoming,54,22,74.8,1.2604589915303306,R,3786,3594,45.03493589250915
